
bjp,Tue Apr 02 11:53:48 +0000 2019,कांग्रेस मेनिफेस्टो में भारतीय सेना के ऊपर जो घिनोने आरोप लगाये गए है ये राहुल गांधी की गन्दी सोच को प्रदर्शित करती… https://t.co/ApZH3EwP9q,India,1405,12,3,0
bjp,Tue Apr 02 11:53:40 +0000 2019,"#Gujarat #Anand 
#BJP candidate #MiteshPatel files #nomination form in presence DyCM  @Nitinbhai_Patel .… https://t.co/8KZzoaNAj2","गुजरात, भारत",2022,0,0,0
bjp,Tue Apr 02 11:53:36 +0000 2019,"Those who used to call Indian army RAPISTS,THUGS, MURDERERS OF KASHMIRIS are suddenly feeling love towards our Army… https://t.co/Gdmzbgu6dm","Mumbai, India",446,8,4,0
bjp,Tue Apr 02 11:53:07 +0000 2019,"DIG ଆଶିଷ ସିଂହଙ୍କ ଘରେ ବିଜେଡି କୋର କମିଟି ମିଟିଂ ଚାଲିଛି, ଦଳୀୟ ନେତାଙ୍କୁ ଡାକି ଧମକ ଓ ଲାଞ୍ଚ ଦିଆଯାଉଛି: ବିଜେପି ଉପସଭାପତି ସମୀର ମ… https://t.co/B3KcrW7dYJ","Bhubaneshwar, Orissa",31716,8,0,0
bjp,Tue Apr 02 11:53:06 +0000 2019,@krishank9 @RahulGandhi @KTRTRS #Telangana #TRS MPs failed miserably in last term and its leader joined #BJP which… https://t.co/AcVUShDEJb,,421,0,0,0
bjp,Tue Apr 02 11:53:05 +0000 2019,"#ஏழைகளை #வாக்கு வங்கியாக கருதும் #காங்கிரஸ், #பிஜு ஜனதா தளம் கட்சிகள் : #ஒடிசா பிரச்சாரத்தில் #மோடி பேச்சு… https://t.co/sLe9bNimJ7",India,251756,1,0,1
bjp,Tue Apr 02 11:52:44 +0000 2019,"Expecting BJP manifesto : 

100 Crore Toilets for Cows.

World class Gaushalas in every states

Multi speciality ho… https://t.co/4eTtKQHWS9","Kavali, India",32,0,0,0
bjp,Tue Apr 02 11:52:40 +0000 2019,"With #NYAY as the central idea, #Congress president #RahulGandhi on Tuesday released a back-to-basic, pro-poor mani… https://t.co/YylxyKQCf9","New Delhi, India",62239,57,30,0
bjp,Tue Apr 02 11:51:53 +0000 2019,"అమిత్ షా ఏపీ పర్యటన ఖరారు
#BJP  #AmitShahroadshowinAP
https://t.co/vMFsOFVE08","Hyderabad, Telangana, India",188425,6,0,5
bjp,Tue Apr 02 11:51:52 +0000 2019,#AmitShah #Tamilnadu #India #BJP #Sivagangai #Thoothukudi #TamilisaiSoundararajan #HRaja https://t.co/tHRA4O2JQ4,"Chennai, India",16,0,0,0
bjp,Tue Apr 02 11:51:45 +0000 2019,"मंदिर #BJP बनाए
धारा 370 और 35(A) BJP हटाए
मसूद को आतंकी घोषित BJP कराए
रोजगार BJP दे
भगोड़ो को BJP पकड़े
आतंकवाद B… https://t.co/0GU5xMftNj","Sri Madhopur, India",129,2,0,0
bjp,Tue Apr 02 11:51:37 +0000 2019,मसूरी में अस्थाई चुनाव कार्यालय में पार्टी कार्यकर्ताओ को संबोधित किया। कार्यक्रम में 15 से अधिक युवाओं ने भारतीय ज… https://t.co/sELOewYwn9,Dehradun,8451,28,11,0
bjp,Tue Apr 02 11:51:27 +0000 2019,"ଭବାନୀପାଟଣାରେ ପ୍ରଶ୍ନ ଭୁବନେଶ୍ୱରରେ ଉତ୍ତର ! ମୋଦିଙ୍କ ଡ଼ବଲ ଇଞ୍ଜିନ ବୟାନକୁ କାଟିଲା ବିଜେଡି । ମୁଖପାତ୍ର କହିଲେ, ଡ଼ବଲ ଇଞ୍ଜିନ୍ ଏବେ… https://t.co/FmSYZmO1zS",Odisha,25754,16,4,0
bjp,Tue Apr 02 11:51:24 +0000 2019,"This is your culture Mr Rahul, these things already done by ur party in the past. If u can't give respect to a wome… https://t.co/NWf4zhAn58",,1,0,1,0
bjp,Tue Apr 02 11:51:24 +0000 2019,Just wondering where ruling #BJP party leaders find so much venom so that they are able keep spitting it Non stop?,India,707,0,0,0
bjp,Tue Apr 02 11:51:18 +0000 2019,"#CongressManifesto offers everything to everyone. Jeet gaye toh dekh lenge, haar gaye toh koi baat hi nahin. 

Seri… https://t.co/bPuFU5wDTr",Pune,256,0,0,0
bjp,Tue Apr 02 11:51:07 +0000 2019,"ଦଳ ଛାଡିବାର ନୂଆ ଧାରା । ଟିକେଟ ମିଳିବା ପରେ ବିଜେପି ଛାଡୁଛନ୍ତି ପ୍ରାର୍ଥୀ, ବିଜେଡି ମୁଖପାତ୍ର କହିଲେ, ପଦ୍ମ ଛାଡି ଶଙ୍ଖ ଧରିବା ଅପେକ୍… https://t.co/wasa28ojpv",Odisha,25754,15,4,0
bjp,Tue Apr 02 11:50:58 +0000 2019,"never tell politics is soo funny 
bz of mindset of peoples like u the politics has become more confusing than befor… https://t.co/w0ndSzTJuR","Bengaluru, Karnataka",48,0,0,0
bjp,Tue Apr 02 11:50:45 +0000 2019,"On damage-control mission, #AmitShah to pay flash visit to Bengaluru https://t.co/sumiYVURTO via @economictimes… https://t.co/EmvtfqV5Mv","Bengaluru, India",1667,1,0,0
bjp,Tue Apr 02 11:50:29 +0000 2019,"Did Twitter tweeted about #BJP Manifesto?

#LoksabhaElections2019 https://t.co/aLJl3braX3",Worldwide,45,0,0,0
bjp,Tue Apr 02 11:50:21 +0000 2019,"@rssurjewala In your opinion, you are so confident of #BJP loosing then why begging for alliances on inferior terms.",,163,0,0,0
bjp,Tue Apr 02 11:49:32 +0000 2019,@bhak_sala By voting for #BJP in #LokSabhaElections2019,,41,0,0,0
bjp,Tue Apr 02 11:49:08 +0000 2019,"भाजपा का एक छोटा सा कार्यकर्ता भी कभी प्रधानमंत्री बन सकता है, पर एक कांग्रेसी चमचा जीवन भर चमचा ही बना रहता है..
😊यही सत्य है 😊 #BJP","मुंबई, भारत",65,0,0,0
bjp,Tue Apr 02 11:48:55 +0000 2019,"भाजपा ने विज्ञापन जारी कर कहा, इस बार भी ‘जनता माफ नहीं करेगी’ https://t.co/bMTSJvGncD via @Newspostonair #BJP #Congress #Newspost","Uttarakhand, India",661,0,0,0
