hashtag,text,comp,pos,neg,neutral
bjp,"RT @Rajendra_twi: बनारस का चुनाव विश्व प्रसिद्ध हो चूका है दुनियाभर से शोधकर्ता इसे देखने और इसपर शोध करने बनारस पहुंच रहे हैं...
#Namo #BJ…"
bjp,"मीडिया को धमकाने वाले केजरीवाल का बीजेपी पर धमकी देने का आरोप
.#news #palpalnews #aap #bjp #election #media... http://t.co/cJzlpNMcMB"
bjp,"RT @Rajendra_twi: बनारस का चुनाव विश्व प्रसिद्ध हो चूका है दुनियाभर से शोधकर्ता इसे देखने और इसपर शोध करने बनारस पहुंच रहे हैं...
#Namo #BJ…"
bjp,RT @Badruddeen: India First - #Bjp Plans A Fundamentally New Foreign Policy For #India | http://t.co/v5pBK0ho7N | via @oneindia #maldives
bjp,"RT @rajamama: @sensex7500 @KhoslaVimal #AbKiBaarModiSarkaar #GharGharModi #BJP 
टूटी साइकिल टूटा हाथ देश का मुस्लिम मोदी जी के साथ http://t…"
bjp,"RT @Rajendra_twi: बनारस का चुनाव विश्व प्रसिद्ध हो चूका है दुनियाभर से शोधकर्ता इसे देखने और इसपर शोध करने बनारस पहुंच रहे हैं...
#Namo #BJ…"
bjp,RT @NewIndianXpress: #BJP's #BabulSupriyo Determined to Repay His Admirers- http://t.co/klxTnzJy2R #Lspollls
bjp,New @BlueJaysPlus: BJP Podcast Episode 57: Happy Times in Blue Jays Land?: Ewan and Chris h... http://t.co/8lxXKyXe5e @SportsBlogRT #BJP
bjp,"#bjp ""Empty vessels make more noise.""
The noise will be shutdown permanently on may 16 in TN. the only leader 4 India's progress #Amma.."
bjp,RT @ajaychauhan41: मधुसुदन मिस्त्री की सुषमा स्वराज पर की गयी अभद्र टिपणी की जितनी निंदा की जाये उतनी कम है। #bjp
bjp,"बनारस का चुनाव विश्व प्रसिद्ध हो चूका है दुनियाभर से शोधकर्ता इसे देखने और इसपर शोध करने बनारस पहुंच रहे हैं...
#Namo #BJP #ModiKiAdalat"
bjp,"RT @mazhar_jafri: RT ""@malvikakapoor8: RahulGandhi: #BJP talks about empowering women but they beat,harass, stalk women. Then how can they …"
bjp,RT @ajaychauhan41: मधुसुदन मिस्त्री की सुषमा स्वराज पर की गयी अभद्र टिपणी की जितनी निंदा की जाये उतनी कम है। #bjp
bjp,"RT @NavbharatTimes: अरविंद केजरीवाल ने आरोप लगाया है कि बीजेपी मीडिया को धमकी दे रही है। पढ़ें खबर... http://t.co/fjmPcENkWs
#aap #bjp"
bjp,My story on the economic agenda for the new government #Congress #BJP http://t.co/HzH7ZfA4Qj@@@
bjp,https://t.co/xNBgEa6KKn  #namo #narendra_modi #bjp #PM #Abkibarmodisarkar #modisarkar @namokisarkar
bjp,India First - #Bjp Plans A Fundamentally New Foreign Policy For #India | http://t.co/v5pBK0ho7N | via @oneindia #maldives
bjp,I want the same aggressiveness in #TDP campaigning also which is seen in #BJP Campaigning @ncbn
bjp,"Varanasi Demographics. Mukhtar Ansari Backing Out. What it means to Modi, Kejriwal and Ajay Rai? http://t.co/xe2Abz7tFt #aap #bjp #inc"
bjp,RT @ajaychauhan41: मधुसुदन मिस्त्री की सुषमा स्वराज पर की गयी अभद्र टिपणी की जितनी निंदा की जाये उतनी कम है। #bjp
bjp,"@cvoter how many of our #Sikh brothers has the #BJP given tickets to in #Punjab --

Bro the answer is 0."
bjp,"RT @Rajendra_twi: @BSharma7   अंत की शुरुवात हो चुकी है... जो लोग आज भी #AAP के साथ हैं आज नहीं तो कल उनको भी अकाल आ जाएगी...
#Namo #BJP #M…"
bjp,"RT @Rajendra_twi: सारे सेकुलरों को मालूम होना चाहिए हम तकनीकी समय में रह रहे हैं.... 
अब कुछ भी छिपाना संभव नहीं.
#Namo #BJP #WeWantModi #A…"
bjp,"बिहार में नमो लहर ? http://t.co/CKlbmMwzPb 
@narendramodi #NarendraModi @laluprasadrjd #NitishKumar #BJP"
bjp,"RT @rajamama: @sensex7500 @KhoslaVimal #AbKiBaarModiSarkaar #GharGharModi #BJP 
टूटी साइकिल टूटा हाथ देश का मुस्लिम मोदी जी के साथ http://t…"
bjp,"~Chandrababu~
Narendra Modi and I are youngsters of 60 plus
#tdp #bjp
http://t.co/pjoT3HvMS0"
bjp,"accidents dogging #LSpolls. #Congress dogged by Accidental Prime Minister, #BJP by accidental wife #Elections2014"
bjp,"POLITICAL UPDATE 
According to the latest rumours, Power Star Pawan Kalyan might campaign for the BJP #Ytalkies #BJP http://t.co/vpLfCi8eXq"
bjp,RT @MamtaAdhikari1: @markiv_in @jithu2k1 @gsurya Nice to see the new groom of #BJP being worshiped by his blind bhakts. #Shame . http://t.c…
bjp,मधुसुदन मिस्त्री की सुषमा स्वराज पर की गयी अभद्र टिपणी की जितनी निंदा की जाये उतनी कम है। #bjp
bjp,"मैं सोच रहा हूँ..16 मई के बाद कांग्रेसी अपने पापों को कैसे छुपाएंगे... ??

हिसाब तो देना पड़ेगा...देश को जनता को..
#Namo #BJP #ModiKiAdalat"
bjp,@ArvindKejriwal is pitted against #BJP Prime Ministerial candidate @narendramodi &amp; Congress leader AjaiRai in Varanasi. #AskKejriwal
bjp,"Rajasthan needs a change, A bright future awaits but only in the hands of a capable leader!
#VoteForChange  #BJP  #Mission25Rajasthan"
bjp,#BJP's #BabulSupriyo Determined to Repay His Admirers- http://t.co/klxTnzJy2R #Lspollls
bjp,PARAKHfallout# Dynasticpolitics has ruined dcountrylast 10yr#1stfamily taken credit allwithout responsibility #bjp http://t.co/QBQ1DxiNaZ
bjp,"RT ""@malvikakapoor8: RahulGandhi: #BJP talks about empowering women but they beat,harass, stalk women. Then how can they protect women?"""""
bjp,"#PawanKalyan to campaign for #BJP in Karnataka 2mrw in Raichur..
Ante ipudu speech English lo or Hindi lo istado.."
bjp,"@markiv_in @jithu2k1 @gsurya #RSS and #HinduMahaSabha killed #Bapu , #BJP can also cross the limit, remember #PramodMahajan"
