hashtags,tweets,neg,neu,pos,compound
bjp,RT abpnewstv LokSabhaElections2019 BJP win 75 seats also bag Amethi Azamgarh claims YogiAdityanath…,0.0,0.759,0.241,0.5859
bjp,84 लाख योनियों में भटकने के बाद वोट डालने का अधिकार मिलता है कृपया इसे राहुल गांधी को देकर व्यर्थ न करें गीता… httpstcoXtE9ytUPHW,0.0,1.0,0.0,0.0
bjp,RT PTMparty என்னுடைய நண்பர் டாக்டர் கிருஷ்ணசாமி அவர்கள் இந்த கூட்டணியில் இருப்பது புதுவை உட்பட 40 தொகுதியிலும் இந்த கூட்டணி மகத்தான வெற்…,0.0,1.0,0.0,0.0
bjp,RT Ram54102012 prateektv News18India सर उप्रके BEDTET2011 को न्याय का आशवासन देकर BJP 2014 2017 सरकार बनायी परंतु न्याय अभी मिला…,0.0,1.0,0.0,0.0
bjp,RT RitangshuB Lets put Nehru rejected UNSC seat BS rest shall MasoodAzhar BJP httpstcoAk9Uy3dZwu,0.202,0.798,0.0,-0.5106
bjp,RT news4tamil திமுக காங்கிரஸ் கூட்டணிக்கு எதிராக மக்கள் மத்தியில் எழுந்த விமர்சனம் கலக்கத்தில் திமுக GoBackRahul GoBackPappu DMK Con…,0.0,1.0,0.0,0.0
bjp,RT ModifiedTamilan Thank TomVadakkan ji right decision join BJP going continous setback congress …,0.0,0.701,0.299,0.5719
bjp,Seeking encash Prime Minister narendramodis image doer BJP chosen slogan Modi Hai Mumkin… httpstco3xsp4qF2NT,0.0,1.0,0.0,0.0
bjp,BJP4India loved ever RahulGandhi says BJP perfect reply reminds dialog from… httpstcoeH6VkWWXK7,0.0,0.568,0.432,0.8225
bjp,RT dagonsin9 Kamal ko keechad Tom Vadakkan mil Gaya TomVadakkan BJP NamumkinAbMumkinHai LokSabhaElections2019 httpstcoIDEfdb1…,0.0,1.0,0.0,0.0
bjp,RT HomeshSharma6 जब माताओंबहनों ने बताया कि योजनाओं का लाभ बिना किसी दलाली के मिल रहा है प्रसन्न भाव से लगाए PM श्री narendramodi जी…,0.0,1.0,0.0,0.0
bjp,RT NehaSGaikwad SackSmritiIrani CAG report no4 2018 shows serious irregularities misuse MPLAD fund union minister smriti…,0.08,0.92,0.0,-0.0772
bjp,RT abpnewstv Reason left Congress party Kerala reactions Pulwama terror attack hurt deeply w…,0.438,0.442,0.119,-0.802
